,Year,Country,Population
0,1960,CHN,667070000.0
1,1960,FIN,4429634.0
2,1960,ROU,18406905.0
3,1960,NOR,3581239.0
4,1960,EST,1211537.0
5,1960,FRA,46621669.0
6,1960,ESP,30455000.0
7,1960,EGY,26632894.0
8,1960,ITA,50199700.0
9,1960,AZE,3895397.0
10,1960,RUS,119897000.0
11,1960,ARG,20481779.0
12,1960,CUB,7141250.0
13,1960,BLR,8198000.0
14,1960,CMR,5176918.0
15,1960,MEX,37771859.0
16,1960,USA,180671000.0
17,1960,HUN,9983967.0
18,1960,BRN,81702.0
19,1960,PAK,44988690.0
20,1960,IRQ,7289760.0
21,1960,QAT,47384.0
22,1960,CAN,17909009.0
23,1960,IRL,2828600.0
24,1960,AUS,10276477.0
25,1960,MAR,12328532.0
26,1960,ERI,1007590
27,1960,JOR,933102.0
28,1960,TUN,4178236.0
29,1960,BEL,9153489.0
30,1960,DJI,83636.0
31,1960,COM,191121.0
32,1960,KAZ,9934563.0
33,1960,MDV,89863.0
34,1960,ETH,22151278.0
35,1960,UZB,8526300.0
36,1960,KGZ,2172300.0
37,1960,TJK,2087049.0
38,1960,JPN,92500572.0
39,1960,BRA,72179226.0
40,1960,ISR,2114020.0
41,1960,SWE,7484656.0
42,1960,TUR,27472345.0
43,1960,ARM,1874121.0
44,1960,CIV,3503553.0
45,1960,KEN,8120080.0
46,1960,BEN,2431622.0
47,1960,GHA,6635230.0
48,1960,SOM,2755972.0
49,1960,SYR,4573512.0
50,1960,GBR,52400000.0
51,1960,CHI,109420.0
52,1960,IND,450547679.0
53,1960,POL,29637450.0
54,1960,PAN,1132997.0
55,1960,GEO,3645600.0
56,1960,GUY,571819.0
57,1960,VEN,8141841.0
58,1960,COL,16057724.0
59,1960,PER,10155015.0
60,1960,UGA,6767095.0
61,1960,NZL,2371800.0
62,1960,ECU,4543666.0
63,1960,TKM,1603258.0
64,1960,TTO,847979.0
65,1960,DOM,3294224.0
66,1960,JAM,1628520.0
67,1960,LBR,1118657.0
68,1960,SUR,287871.0
69,1960,PLW,9771.0
70,1960,LTU,2778550.0
71,1960,NAM,634142.0
72,1960,UKR,42664652.0
73,1960,ISL,175574.0
74,1960,AUT,7047539.0
75,1960,RWA,2935582.0
76,1960,DMA,60011.0
77,1960,MLT,326550.0
78,1960,LUX,313970.0
79,1960,CYP,572930.0
80,1960,SGP,1646400.0
81,1960,SLE,2317636.0
82,1960,PNG,2255859.0
83,1960,AFG,8996973.0
84,1960,YEM,5315355.0
85,1960,MDA,2544000.0
86,1960,SRB,..
87,1960,CAF,1501668.0
88,1960,BIH,3225668.0
89,1960,GUM,66742.0
90,1960,SVK,4068095.0
91,1960,THA,27397207.0
92,1960,TLS,474532.0
93,1960,GAB,500928.0
94,1960,SMR,15432.0
95,1960,LAO,2120898.0
96,1960,KOR,25012374.0
97,1960,PRK,11424176.0
98,1960,MOZ,7184869.0
99,1960,SEN,3206749.0
100,1960,CPV,201765.0
101,1960,CZE,9602006.0
102,1960,BOL,3656955.0
103,1960,AND,13411.0
104,1960,HKG,3075605.0
105,1960,LCA,89697.0
106,1960,FSM,44514.0
107,1960,COD,15248251.0
108,1960,MLI,5263733.0
109,1960,STP,64302.0
110,1960,MKD,1488667.0
111,1960,LIE,16493.0
112,1960,MNE,480579.0
113,1960,ALB,1608800.0
114,1960,SWZ,336583.0
115,1960,BDI,2797932.0
116,1960,NRU,4375.0
117,1960,VNM,32670039.0
118,1960,MHL,14662.0
119,1960,KIR,41202.0
120,1960,TUV,5323.0
121,1960,SSD,2842724.0
122,1961,CHN,660330000.0
123,1961,FIN,4461005.0
124,1961,ROU,18555250.0
125,1961,NOR,3609800.0
126,1961,EST,1225077.0
127,1961,FRA,47240543.0
128,1961,ESP,30739250.0
129,1961,EGY,27366237.0
130,1961,ITA,50536350.0
131,1961,AZE,4030322.0
132,1961,RUS,121236000.0
133,1961,ARG,20817266.0
134,1961,CUB,7291200.0
135,1961,BLR,8271216.0
136,1961,CMR,5285017.0
137,1961,MEX,38966056.0
138,1961,USA,183691000.0
139,1961,HUN,10029321.0
140,1961,BRN,85562.0
141,1961,PAK,46065231.0
142,1961,IRQ,7475350.0
143,1961,QAT,51421.0
144,1961,CAN,18271000.0
145,1961,IRL,2824400.0
146,1961,AUS,10483000.0
147,1961,MAR,12710581.0
148,1961,ERI,1033328
149,1961,JOR,973988.0
150,1961,TUN,4238142.0
151,1961,BEL,9183948.0
152,1961,DJI,88498.0
153,1961,COM,194139.0
154,1961,KAZ,10349414.0
155,1961,MDV,92325.0
156,1961,ETH,22671191.0
157,1961,UZB,8813616.0
158,1961,KGZ,2255900.0
159,1961,TJK,2159134.0
160,1961,JPN,94943000.0
161,1961,BRA,74311343.0
162,1961,ISR,2185000.0
163,1961,SWE,7519998.0
164,1961,TUR,28146910.0
165,1961,ARM,1941492.0
166,1961,CIV,3631553.0
167,1961,KEN,8377696.0
168,1961,BEN,2465867.0
169,1961,GHA,6848295.0
170,1961,SOM,2814118.0
171,1961,SYR,4721896.0
172,1961,GBR,52800000.0
173,1961,CHI,110399.0
174,1961,IND,459642165.0
175,1961,POL,29964000.0
176,1961,PAN,1167113.0
177,1961,GEO,3703600.0
178,1961,GUY,589274.0
179,1961,VEN,8439261.0
180,1961,COL,16567811.0
181,1961,PER,10446620.0
182,1961,UGA,6983818.0
183,1961,NZL,2419700.0
184,1961,ECU,4674172.0
185,1961,TKM,1658362.0
186,1961,TTO,864818.0
187,1961,DOM,3406280.0
188,1961,JAM,1651073.0
189,1961,LBR,1142302.0
190,1961,SUR,295916.0
191,1961,PLW,10049.0
192,1961,LTU,2823550.0
193,1961,NAM,649279.0
194,1961,UKR,43206345.0
195,1961,ISL,179029.0
196,1961,AUT,7086299.0
197,1961,RWA,2998325.0
198,1961,DMA,61032.0
199,1961,MLT,325250.0
200,1961,LUX,316845.0
201,1961,CYP,576395.0
202,1961,SGP,1702400.0
203,1961,SLE,2352363.0
204,1961,PNG,2297059.0
205,1961,AFG,9169410.0
206,1961,YEM,5393036.0
207,1961,MDA,2605000.0
208,1961,SRB,..
209,1961,CAF,1526066.0
210,1961,BIH,3288603.0
211,1961,GUM,68072.0
212,1961,SVK,4191667.0
213,1961,THA,28224187.0
214,1961,TLS,482854.0
215,1961,GAB,505799.0
216,1961,SMR,15837.0
217,1961,LAO,2170344.0
218,1961,KOR,25765673.0
219,1961,PRK,11665595.0
